val	count
36.06	1
27.04	5
26.17	1
28.74	3
34.14	2
36.2	3
33.79	5
38.15	4
38.75	16
30.89	1
30.66	4
30.84	7
32.66	2
38.3	6
36.19	5
33.62	5
33.51	7
31.95	4
41.93	8
60.79	7
50.11	5
41.92	10
48.35	3
55.36	9
60.04	3
47.07	1
59.36	12
49.05	3
49.92	2
57.27	11
47.48	5
43.86	10
39.0	9
56.12	13
42.46	11
48.83	6
52.76	3
68.49	1
49.0	3
26.35	6
30.58	6
32.89	3
31.27	5
29.09	1
32.81	3
32.33	5
34.93	4
36.74	2
40.09	3
47.54	3
35.19	4
36.76	3
64.29	6
60.54	5
31.68	1
38.64	2
50.38	3
46.87	8
46.36	2
46.46	2
29.14	1
37.97	10
52.95	3
25.38	2
26.62	2
24.75	1
24.92	3
38.98	9
40.17	3
42.41	6
62.01	2
56.86	12
57.28	8
61.55	1
62.07	7
58.38	12
56.07	10
57.18	17
58.28	6
60.23	7
58.24	7
50.48	5
53.95	3
46.15	6
45.23	5
45.2	4
48.61	3
54.39	1
53.6	2
61.5	5
64.24	5
54.23	8
45.47	4
49.56	3
26.75	3
32.39	2
32.76	3
31.98	2
40.36	2
42.56	11
36.32	3
38.63	4
31.91	1
35.25	7
37.95	4
50.14	5
62.92	2
53.07	4
34.38	6
34.97	6
25.15	1
25.06	2
27.39	4
32.37	1
29.21	1
48.31	9
39.72	4
46.49	5
49.48	5
67.9	1
27.31	2
27.18	1
47.97	4
62.65	2
62.33	4
61.26	5
63.72	2
38.6	6
38.35	1
29.13	1
37.08	5
33.08	3
55.89	6
48.38	5
39.29	5
32.79	5
37.05	5
29.33	2
33.4	4
38.07	3
44.93	7
31.33	6
36.85	7
62.46	3
40.06	8
59.44	8
32.31	4
25.89	2
26.98	8
26.0	6
30.11	1
62.53	10
50.79	3
50.34	3
49.07	2
50.83	3
47.98	6
58.13	14
45.55	15
45.93	6
51.26	1
46.64	2
30.41	2
51.64	3
44.62	6
36.21	4
33.02	3
54.68	3
59.97	7
46.83	2
25.87	2
26.44	6
26.54	2
26.36	3
27.16	7
31.41	3
36.64	5
35.72	1
34.47	3
32.62	4
35.76	5
34.71	3
37.16	7
37.92	1
49.83	6
47.58	2
39.5	11
37.4	6
39.89	5
34.56	7
30.91	1
30.79	4
30.0	4
34.05	6
34.01	4
30.68	3
29.08	2
30.36	4
32.3	5
33.38	1
36.8	4
35.14	11
32.54	1
64.25	1
47.3	6
48.15	6
44.56	5
37.77	6
25.37	1
27.19	1
32.92	3
38.57	8
30.75	1
30.63	3
27.1	2
45.9	3
71.81	1
49.88	1
46.28	4
52.01	2
26.29	1
51.15	1
61.15	5
26.97	3
26.24	1
41.57	8
40.7	9
47.84	2
63.04	4
47.64	3
